 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m   Latitude  Longitude      DepSM      Sal00  Density00
 09/20/2019   16:28:32      0.401    12.2649   3.881103    0.00000    0.00000      0.398    33.6030  1025.4557
 09/20/2019   16:28:34      0.429    12.2613   3.881064    0.00000    0.00000      0.426    33.6058  1025.4587
 09/20/2019   16:28:36      0.410    12.2618   3.881023    0.00000    0.00000      0.407    33.6050  1025.4579
 09/20/2019   16:28:38      0.408    12.2592   3.880919    0.00000    0.00000      0.405    33.6063  1025.4594
 09/20/2019   16:28:40      0.402    12.2565   3.880652    0.00000    0.00000      0.398    33.6062  1025.4598
 09/20/2019   16:28:42      0.418    12.2558   3.880279    0.00000    0.00000      0.415    33.6033  1025.4577
 09/20/2019   16:28:44      0.407    12.2533   3.879888    0.00000    0.00000      0.404    33.6017  1025.4569
 09/20/2019   16:28:46      0.420    12.2476   3.879504    0.00000    0.00000      0.417    33.6031  1025.4591
 09/20/2019   16:28:48      0.406    12.2427   3.879248    0.00000    0.00000      0.403    33.6051  1025.4615
 09/20/2019   16:28:50      0.416    12.2447   3.879143    0.00000    0.00000      0.413    33.6022  1025.4590
 09/20/2019   16:28:52      0.404    12.2434   3.878913    0.00000    0.00000      0.401    33.6011  1025.4584
 09/20/2019   16:28:54      0.416    12.2409   3.878763    0.00000    0.00000      0.413    33.6020  1025.4595
 09/20/2019   16:28:56      0.406    12.2371   3.878491    0.00000    0.00000      0.403    33.6027  1025.4608
 09/20/2019   16:28:58      0.428    12.2362   3.878275    0.00000    0.00000      0.425    33.6015  1025.4601
 09/20/2019   16:29:00      0.401    12.2348   3.878132    0.00000    0.00000      0.399    33.6014  1025.4602
 09/20/2019   16:29:02      0.396    12.2347   3.877897    0.00000    0.00000      0.393    33.5992  1025.4585
 09/20/2019   16:29:04      0.435    12.2333   3.877773    0.00000    0.00000      0.432    33.5992  1025.4589
 09/20/2019   16:29:06      0.404    12.2310   3.877676    0.00000    0.00000      0.401    33.6004  1025.4602
 09/20/2019   16:29:08      0.421    12.2308   3.877645    0.00000    0.00000      0.418    33.6003  1025.4602
 09/20/2019   16:29:10      0.398    12.2295   3.877573    0.00000    0.00000      0.395    33.6008  1025.4607
 09/20/2019   16:29:12      0.409    12.2283   3.877742    0.00000    0.00000      0.406    33.6034  1025.4630
 09/20/2019   16:29:14      0.420    12.2288   3.877922    0.00000    0.00000      0.417    33.6047  1025.4640
 09/20/2019   16:29:16      0.389    12.2294   3.878012    0.00000    0.00000      0.386    33.6051  1025.4640
 09/20/2019   16:29:18      0.431    12.2295   3.877878    0.00000    0.00000      0.428    33.6037  1025.4631
 09/20/2019   16:29:20      0.392    12.2296   3.877908    0.00000    0.00000      0.389    33.6038  1025.4630
 09/20/2019   16:29:22      0.423    12.2303   3.878075    0.00000    0.00000      0.420    33.6049  1025.4638
 09/20/2019   16:29:24      0.414    12.2296   3.877858    0.00000    0.00000      0.411    33.6034  1025.4628
 09/20/2019   16:29:26      0.386    12.2285   3.878042    0.00000    0.00000      0.383    33.6062  1025.4650
 09/20/2019   16:29:28      0.441    12.2287   3.878130    0.00000    0.00000      0.438    33.6068  1025.4657
 09/20/2019   16:29:30      0.404    12.2284   3.878308    0.00000    0.00000      0.401    33.6088  1025.4672
 09/20/2019   16:29:32      0.407    12.2285   3.878344    0.00000    0.00000      0.404    33.6091  1025.4674
 09/20/2019   16:29:34      0.415    12.2280   3.877968    0.00000    0.00000      0.412    33.6059  1025.4650
 09/20/2019   16:29:36      0.401    12.2275   3.878153    0.00000    0.00000      0.398    33.6081  1025.4668
 09/20/2019   16:29:38      0.406    12.2274   3.878024    0.00000    0.00000      0.403    33.6070  1025.4660
 09/20/2019   16:29:40      0.429    12.2263   3.877575    0.00000    0.00000      0.426    33.6036  1025.4636
 09/20/2019   16:29:42      0.407    12.2232   3.877683    0.00000    0.00000      0.404    33.6075  1025.4671
 09/20/2019   16:29:44      0.396    12.2229   3.877606    0.00000    0.00000      0.394    33.6070  1025.4668
 09/20/2019   16:29:46      0.399    12.2230   3.877641    0.00000    0.00000      0.396    33.6073  1025.4670
 09/20/2019   16:29:48      0.439    12.2217   3.877389    0.00000    0.00000      0.436    33.6060  1025.4664
 09/20/2019   16:29:50      0.396    12.2211   3.877824    0.00000    0.00000      0.393    33.6107  1025.4700
 09/20/2019   16:29:52      0.411    12.2212   3.877606    0.00000    0.00000      0.408    33.6086  1025.4684
 09/20/2019   16:29:54      0.400    12.2206   3.877668    0.00000    0.00000      0.396    33.6096  1025.4693
 09/20/2019   16:29:56      0.430    12.2196   3.877030    0.00000    0.00000      0.427    33.6043  1025.4655
 09/20/2019   16:29:58      0.401    12.2164   3.877079    0.00000    0.00000      0.398    33.6078  1025.4687
 09/20/2019   16:30:00      0.406    12.2156   3.877132    0.00000    0.00000      0.403    33.6089  1025.4697
 09/20/2019   16:30:02      0.406    12.2152   3.877223    0.00000    0.00000      0.403    33.6102  1025.4708
 09/20/2019   16:30:04      0.424    12.2143   3.876844    0.00000    0.00000      0.421    33.6073  1025.4688
 09/20/2019   16:30:06      0.404    12.2134   3.876806    0.00000    0.00000      0.401    33.6078  1025.4692
 09/20/2019   16:30:08      0.418    12.2114   3.876599    0.00000    0.00000      0.415    33.6076  1025.4695
 09/20/2019   16:30:10      0.409    12.2102   3.876395    0.00000    0.00000      0.406    33.6067  1025.4690
 09/20/2019   16:30:12      0.412    12.2089   3.876477    0.00000    0.00000      0.409    33.6087  1025.4708
 09/20/2019   16:30:14      0.408    12.2066   3.876295    0.00000    0.00000      0.405    33.6090  1025.4715
 09/20/2019   16:30:16      0.425    12.2057   3.876242    0.00000    0.00000      0.422    33.6093  1025.4720
 09/20/2019   16:30:18      0.412    12.2042   3.876110    0.00000    0.00000      0.409    33.6094  1025.4722
 09/20/2019   16:30:20      0.402    12.2022   3.875893    0.00000    0.00000      0.399    33.6090  1025.4723
 09/20/2019   16:30:22      0.402    12.2008   3.875945    0.00000    0.00000      0.399    33.6108  1025.4740
 09/20/2019   16:30:24      0.416    12.2007   3.876212    0.00000    0.00000      0.413    33.6135  1025.4761
 09/20/2019   16:30:26      0.404    12.1999   3.876177    0.00000    0.00000      0.401    33.6139  1025.4765
 09/20/2019   16:30:28      0.399    12.2020   3.875958    0.00000    0.00000      0.396    33.6098  1025.4729
 09/20/2019   16:30:30      0.417    12.1985   3.875399    0.00000    0.00000      0.414    33.6076  1025.4720
 09/20/2019   16:30:32      0.423    12.1909   3.874850    0.00000    0.00000      0.420    33.6092  1025.4747
