year,month,day,39N,38N
1990,5,3,0.761,0.277
1990,5,4,-0.259,-0.328
1990,5,5,1.569,0.758
1990,5,6,4.943,2.076
1990,5,7,4.758,2.472
1990,5,8,2.241,0.757
1990,5,9,0.519,0.028
1990,5,10,1.463,0.076
1990,5,11,3.88,2.21
1990,5,12,3.549,1.751
1990,5,13,4.578,2.053
1990,5,14,4.512,2.271
1990,5,15,3.01,0.722
1990,5,16,1.905,0.899
1990,5,17,2.754,1.439
1990,5,18,3.099,1.544
1990,5,19,-0.393,-0.605
1990,5,20,-0.787,-0.926
1990,5,21,-1.076,-0.743
1990,5,22,0.166,-0.315
1990,5,23,0.543,0.172
1990,5,24,0.823,0.546
1990,5,25,0.382,0.206
1990,5,26,-1.152,-0.593
1990,5,27,-0.921,-0.561
1990,5,28,1.063,1.121
1990,5,29,0.278,0.379
1990,5,30,-0.486,-0.536
1990,5,31,0.543,0.176
1990,6,1,0.406,0.384
1990,6,2,0.445,0.33
1990,6,3,0.153,-0.035
1990,6,4,1.515,1.403
1990,6,5,1.436,1.193
1990,6,6,0.115,-0.201
1990,6,7,1.405,1.235
1990,6,8,2.454,2.435
1990,6,9,1.985,1.187
1990,6,10,1.852,0.93
1990,6,11,3.034,1.783
1990,6,12,3.557,2.351
1990,6,13,3.636,2.025
1990,6,14,0.775,-0.338
1990,6,15,0.841,0.094
1990,6,16,1.063,0.469
1990,6,17,0.774,0.558
1990,6,18,0.399,-0.062
